X-direction,Y-direction,Z-direction,Error_found
0.31,1.02,-9.18,no
-0.78,0.98,-9.1,no
0.04,0.67,-8.28,no
-0.04,0.9,-8.16,no
0,1.26,-7.77,no
0,0.51,-7.3,no
-0.08,0.94,-8.08,no
0.35,1.37,-6.24,no
-0.16,0.9,-8.32,no
0.04,1.14,-8.2,no
0.08,0.98,-8.2,no
0.16,0.71,-7.61,no
-0.08,1.1,-8.67,no
-0.59,0.63,-10.36,no
-0.04,0.82,-7.53,no
-0.24,1.26,-9.14,no
-0.08,0.82,-7.49,no
-0.04,1.06,-8.83,no
0,1.02,-7.1,no
0.04,1.02,-9.18,no
-0.27,0.86,-8.24,no
-0.12,0.78,-8.47,no
-0.16,0.78,-8.83,no
-0.78,1.18,-8.55,no
-0.04,0.82,-7.69,no
0.2,0.94,-6.28,no
0.12,0.78,-7.96,no
0,0.43,-8.04,no
-0.39,0.82,-10.04,no
-0.08,0.67,-6.86,no
0.08,1.1,-7.77,no
0.16,0.82,-7.06,no
-0.27,0.51,-5.73,no
0.04,0.9,-8.16,no
0,0.78,-7.96,no
0,1.29,-8.79,no
-0.12,0.55,-8.63,no
-0.12,0.78,-6.35,no
-0.04,0.94,-7.1,no
0.12,0.75,-7.53,no
-0.16,1.37,-7.65,no
0.04,0.94,-8.83,no
-0.27,0.86,-6.28,no
-0.55,0.51,-8.67,no
0.31,0.9,-7.49,no
0.12,1.02,-8.51,no
0,0.63,-7.61,no
-0.16,0.39,-7.57,no
-0.43,0.9,-8.55,no
0.04,1.14,-8.55,no
-0.08,0.9,-9.1,no
0.16,1.02,-7.61,no
-0.12,0.59,-8.16,no
-0.67,-0.04,-9.14,no
0.12,0.63,-6.79,no
-0.27,0.55,-7.45,no
0.27,0.86,-7.81,no
-0.35,0.78,-8.75,no
0.08,1.1,-7.1,no
-0.27,0.9,-7.88,no
0.04,1.1,-8.16,no
-0.43,0.86,-8.83,no
0.04,1.02,-8.39,no
-0.24,1.22,-8.47,no
0.39,1.14,-6.79,no
-0.27,0.82,-8.36,no
0.08,1.41,-9.26,no
-0.35,0.63,-8.08,no
-0.12,0.86,-8.47,no
-0.2,0.82,-8.67,no
0,0.9,-8.04,no
0,0.94,-6.59,no
0.27,1.22,-7.06,no
0.2,0.94,-7.3,no
-0.12,0.94,-8.16,no
-0.31,1.14,-8.71,no
0.27,0.94,-7.81,no
-0.51,1.14,-10.4,no
-0.08,1.14,-7.02,no
-0.12,0.82,-8.39,no
-0.08,1.06,-8.08,no
-0.12,0.98,-8.2,no
-0.04,0.63,-6.79,no
-0.16,0.94,-8.08,no
0.16,0.9,-7.53,no
-0.08,0.63,-8.12,no
-0.12,0.78,-8.75,no
-0.04,0.59,-7.49,no
0.08,0.98,-7.73,no
-0.16,1.22,-8.36,no
-0.08,1.14,-9.41,no
0.04,0.86,-7.81,no
0.24,1.37,-7.34,no
0.12,0.82,-7.22,no
-0.63,0.9,-9.02,no
-0.16,0.71,-7.53,no
-0.08,0.98,-8.47,no
-0.59,0.59,-7.92,no
-0.16,0.98,11.69,no
-0.12,1.22,11.65,no
-0.08,0.67,11.45,no
-0.2,0.98,11.45,no
0.04,1.22,11.45,no
-0.2,1.14,11.49,no
-0.24,1.18,11.34,no
-0.08,1.02,11.1,no
0.08,1.14,11.65,no
0,1.26,11.53,no
0.08,1.02,11.61,no
-0.39,1.29,11.38,no
-0.2,0.98,11.65,no
0,0.78,11.53,no
-0.27,1.1,11.57,no
-0.08,1.06,11.53,no
0.04,1.22,11.57,no
-0.12,1.06,11.65,no
-0.04,0.9,11.41,no
-0.12,1.14,11.61,no
-0.31,0.82,11.38,no
-0.47,1.02,11.53,no
-0.31,1.1,11.22,no
-0.16,1.1,11.73,no
-0.12,1.22,11.77,no
0.12,1.1,11.49,no
-0.12,1.33,11.65,no
-0.04,1.1,11.41,no
-0.2,1.22,11.41,no
-0.04,1.14,11.61,no
0,1.06,11.45,no
-0.12,1.1,11.57,no
-0.27,1.1,11.49,no
-0.2,1.1,11.49,no
-0.12,1.14,11.65,no
0.04,1.1,11.49,no
-0.12,0.94,11.61,no
-0.08,1.02,11.61,no
-0.08,1.06,11.53,no
-0.12,1.1,11.57,no
0.16,1.26,11.65,no
0.08,1.1,11.57,no
0,1.26,11.45,no
-0.08,0.98,11.69,no
0.04,1.18,11.65,no
-0.2,1.1,11.45,no
-0.08,1.1,11.49,no
-0.86,0.98,11.65,no
-0.2,1.02,11.69,no
-0.08,1.06,11.49,no
-0.12,0.98,11.53,no
-0.04,1.14,11.53,no
-0.08,0.98,11.41,no
-0.27,1.22,11.53,no
-0.04,1.02,11.65,no
-0.08,1.14,11.65,no
-0.24,1.02,11.61,no
-0.04,1.02,11.65,no
-0.16,1.29,11.65,no
-0.2,1.06,11.53,no
-0.04,1.06,11.49,no
0.04,0.98,11.65,no
0.08,1.06,11.61,no
0,0.78,11.49,no
0.16,0.43,11.69,no
-0.59,1.65,11.45,no
-1.84,1.06,11.18,no
0.04,0.98,11.61,no
0.16,0.86,11.57,no
0,1.06,11.69,no
-0.2,0.78,11.41,no
-0.12,1.14,11.69,no
-0.24,1.18,11.41,no
-0.04,1.18,11.22,no
-0.24,1.18,11.45,no
-0.31,1.26,11.57,no
0,1.02,11.41,no
-0.31,1.02,11.61,no
0.12,1.18,11.77,no
-0.24,1.02,11.61,no
-0.16,1.02,11.53,no
-0.08,1.14,11.49,no
-0.04,1.02,11.89,no
-0.04,0.86,11.41,no
-0.16,1.06,11.3,no
-0.04,1.26,11.57,no
-0.12,1.14,11.61,no
-0.55,1.06,11.57,no
-0.08,1.06,11.26,no
-0.04,1.26,11.53,no
0.08,0.94,11.81,no
0,1.18,11.53,no
0.08,1.37,11.96,no
-0.04,1.02,11.77,no
-0.04,1.02,11.77,no
-0.08,1.06,11.77,no
0.04,1.02,11.81,no
0.12,1.22,11.22,no
-0.39,1.29,11.45,no
-0.08,1.18,11.57,no
-0.24,1.18,11.61,no
-0.12,1.14,11.49,no
-0.04,1.14,11.57,no
-0.08,0.86,11.69,no
0,0.82,11.34,no
-0.16,1.06,11.73,no
-0.31,1.02,12,no
-0.2,0.98,11.61,no
-0.39,1.06,11.3,no
-0.24,1.1,11.77,no
-0.08,1.14,11.38,no
-0.12,1.06,11.41,no
0.08,1.02,11.53,no
-0.2,0.94,11.49,no
-0.2,1.1,11.73,no
0.04,1.22,11.65,no
-0.24,1.06,11.38,no
-0.24,1.14,11.53,no
-0.27,1.18,11.57,no
-0.16,0.94,11.53,no
-0.24,1.14,11.81,no
0.31,0.9,11.85,no
0.08,1.06,11.65,no
0,1.1,11.57,no
-0.12,0.78,11.61,no
0.2,0.98,11.65,no
-0.82,0.55,11.18,no
-0.31,1.06,11.38,no
0,1.18,11.61,no
-0.35,1.1,11.61,no
-0.04,1.18,11.73,no
0.12,1.1,11.57,no
-0.12,1.22,11.57,no
-0.08,1.14,11.57,no
-0.2,0.94,11.65,no
-0.16,1.06,12,no
-0.2,1.18,11.85,no
-0.24,1.22,11.57,no
-0.24,0.9,11.81,no
-0.08,1.02,11.77,no
0.43,1.29,11.45,no
-0.27,0.98,11.57,no
0.16,0.98,11.3,no
-0.04,1.02,11.61,no
-0.08,1.22,11.61,no
-0.27,1.22,11.41,no
0.16,0.9,11.61,no
-0.31,1.02,11.65,no
-0.16,1.02,11.41,no
-0.35,1.14,11.57,no
-0.31,1.1,11.57,no
0.08,0.86,11.65,yes
0.12,1.1,11.81,yes
-0.04,1.14,11.53,yes
-0.24,0.98,11.69,yes
-0.24,0.9,11.65,yes
-0.16,0.98,11.61,yes
-0.24,0.94,11.57,yes
0.04,0.9,11.57,yes
-0.12,1.02,11.65,yes
0.08,0.98,11.85,yes
-0.16,0.9,11.53,yes
-0.24,1.02,11.61,yes
-0.27,0.86,11.57,yes
-0.24,0.78,11.69,yes
-0.27,1.14,11.92,yes
-0.43,1.18,11.22,yes
-0.08,0.94,11.53,yes
-0.2,1.26,11.57,yes
-0.16,0.94,11.77,yes
0,1.02,11.49,yes
-0.12,1.02,11.45,yes
0.08,1.33,11.69,yes
-0.04,0.9,11.77,yes
-0.04,1.02,11.61,yes
0.04,0.98,11.57,yes
0.12,0.98,11.53,yes
-0.08,0.9,11.38,yes
-0.2,1.06,11.61,yes
0.08,1.18,11.49,yes
-0.12,0.98,11.53,yes
-0.24,1.1,11.45,yes
-0.08,0.98,11.53,yes
-0.27,0.98,11.57,yes
-0.04,1.02,11.57,yes
-0.08,0.94,11.41,yes
-0.27,1.02,11.65,yes
-0.04,1.02,11.57,yes
-0.35,0.86,11.49,yes
-0.16,1.06,11.69,yes
-0.2,1.02,11.65,yes
-0.24,0.98,11.49,yes
-0.2,0.98,11.77,yes
-0.08,0.98,11.65,yes
-0.08,1.02,11.49,yes
0,0.86,11.45,yes
-0.16,1.02,11.61,yes
-0.08,1.1,11.73,yes
-0.12,1.1,11.49,yes
-0.12,1.14,11.38,yes
-0.27,1.1,11.41,yes
0.12,1.1,11.73,yes
-0.08,0.98,11.61,yes
-0.39,1.02,11.57,yes
0.08,1.02,11.77,yes
0.08,1.1,11.53,yes
0.08,1.1,11.61,yes
-0.24,1.06,11.57,yes
-0.35,1.02,11.49,yes
0,1.02,11.57,yes
-0.08,1.06,11.77,yes
-0.04,1.14,11.65,yes
0,1.22,11.61,yes
0.04,0.94,11.38,yes
-0.2,0.98,11.26,yes
0,1.02,11.45,yes
-0.31,1.02,11.65,yes
0.04,1.06,11.69,yes
-0.08,1.02,11.57,yes
-0.2,1.06,11.49,yes
-0.08,1.1,11.69,yes
-0.24,1.02,11.53,yes
-0.2,1.02,11.45,yes
-0.12,1.02,11.61,yes
0.16,1.33,11.53,yes
-0.2,1.06,11.57,yes
-0.24,1.02,11.61,yes
-0.39,1.02,11.26,yes
-0.16,0.86,11.49,yes
-0.24,1.06,11.49,yes
-0.2,1.06,11.49,yes
0.04,1.06,11.61,yes
-0.04,0.9,11.57,yes
-0.2,1.1,11.45,yes
-0.12,1.02,11.57,yes
-0.2,0.86,11.69,yes
-0.27,1.33,11.57,yes
-0.04,1.22,11.53,yes
-0.27,0.98,11.38,yes
-0.12,0.98,11.61,yes
-0.04,1.14,11.61,yes
0.12,1.1,11.65,yes
-0.31,1.26,11.65,yes
-0.08,0.82,11.53,yes
-0.31,1.29,11.49,yes
0,1.06,11.49,yes
-0.31,1.22,11.57,yes
-0.16,0.86,11.45,yes
0.08,0.98,11.49,yes
0.08,1.02,11.61,yes
-0.39,1.18,11.65,yes
-0.2,0.9,11.34,yes
-0.27,1.33,11.49,yes
-0.08,0.98,11.61,yes
-0.12,1.14,11.45,yes
-0.31,1.29,11.49,yes
-0.04,0.98,11.53,yes
-0.08,1.1,11.65,yes
-0.08,0.98,11.53,yes
-0.04,0.98,11.65,yes
-0.12,0.86,11.57,yes
-0.27,1.22,11.53,yes
-0.04,1.1,11.45,yes
-0.16,1.22,11.61,yes
0.04,0.94,11.53,yes
-0.16,1.06,11.69,yes
-0.27,1.26,11.77,yes
-0.24,1.18,11.65,yes
-0.04,0.9,11.57,yes
-0.12,1.02,11.45,yes
-0.12,1.14,11.38,yes
-0.16,1.14,11.57,yes
0.08,1.14,11.61,yes
-0.04,0.94,11.45,yes
0,0.9,11.65,yes
0.04,1.14,11.65,yes
-0.16,1.14,11.53,yes
-0.04,1.1,11.49,yes
0.12,1.1,11.53,yes
0.12,0.94,11.49,yes
-0.31,1.1,11.57,yes
0.04,0.78,11.73,yes
-0.08,0.9,11.57,yes
-0.59,1.53,11.06,yes
-0.12,0.94,11.53,yes
-0.35,1.1,11.06,yes
-0.24,1.1,11.45,yes
-0.04,0.86,11.49,yes
0.08,0.98,11.53,yes
0.16,1.1,11.49,yes
-0.2,1.06,11.69,yes
-0.24,1.14,11.53,yes
-0.24,0.75,11.53,yes
0.12,1.18,11.3,yes
-0.12,0.86,11.45,yes
0.04,1.18,11.73,yes
-0.04,1.14,11.81,yes
-0.24,0.94,11.69,yes
0,0.98,11.53,yes
-0.16,0.98,11.69,yes
-0.12,1.22,11.65,yes
-0.08,0.67,11.45,yes
-0.2,0.98,11.45,yes
0.04,1.22,11.45,yes
-0.2,1.14,11.49,yes
-0.24,1.18,11.34,yes
-0.08,1.02,11.1,yes
0.08,1.14,11.65,yes
0,1.26,11.53,yes
0.08,1.02,11.61,yes
-0.39,1.29,11.38,yes
-0.2,0.98,11.65,yes
0,0.78,11.53,yes
-0.27,1.1,11.57,yes
-0.08,1.06,11.53,yes
0.04,1.22,11.57,yes
-0.12,1.06,11.65,yes
-0.04,0.9,11.41,yes
-0.12,1.14,11.61,yes
-0.31,0.82,11.38,yes
-0.47,1.02,11.53,yes
-0.31,1.1,11.22,yes
-0.16,1.1,11.73,yes
-0.12,1.22,11.77,yes
0.12,1.1,11.49,yes
-0.12,1.33,11.65,yes
-0.04,1.1,11.41,yes
-0.2,1.22,11.41,yes
-0.04,1.14,11.61,yes
0,1.06,11.45,yes
-0.12,1.1,11.57,yes
-0.27,1.1,11.49,yes
-0.2,1.1,11.49,yes
-0.12,1.14,11.65,yes
0.04,1.1,11.49,yes
-0.12,0.94,11.61,yes
-0.08,1.02,11.61,yes
-0.08,1.06,11.53,yes
-0.12,1.1,11.57,yes
0.16,1.26,11.65,yes
0.08,1.1,11.57,yes
0,1.26,11.45,yes
-0.08,0.98,11.69,yes
0.04,1.18,11.65,yes
-0.2,1.1,11.45,yes
-0.08,1.1,11.49,yes
-0.86,0.98,11.65,yes
-0.2,1.02,11.69,yes
-0.08,1.06,11.49,yes
-0.12,0.98,11.53,yes
-0.04,1.14,11.53,yes
-0.08,0.98,11.41,yes
-0.27,1.22,11.53,yes
-0.04,1.02,11.65,yes
-0.08,1.14,11.65,yes
-0.24,1.02,11.61,yes
-0.04,1.02,11.65,yes
-0.16,1.29,11.65,yes
-0.2,1.06,11.53,yes
-0.04,1.06,11.49,yes
0.04,0.98,11.65,yes
0.08,1.06,11.61,yes
0,0.78,11.49,yes
0.16,0.43,11.69,yes
-0.59,1.65,11.45,yes
-1.84,1.06,11.18,yes
0.04,0.98,11.61,yes
0.16,0.86,11.57,yes
0,1.06,11.69,yes
-0.2,0.78,11.41,yes
-0.12,1.14,11.69,yes
-0.24,1.18,11.41,yes
-0.04,1.18,11.22,yes
-0.24,1.18,11.45,yes
-0.31,1.26,11.57,yes
0,1.02,11.41,yes
-0.31,1.02,11.61,yes
0.12,1.18,11.77,yes
-0.24,1.02,11.61,yes
-0.16,1.02,11.53,yes
-0.08,1.14,11.49,yes
-0.04,1.02,11.89,yes
-0.04,0.86,11.41,yes
-0.16,1.06,11.3,yes
-0.04,1.26,11.57,yes
-0.12,1.14,11.61,yes
-0.55,1.06,11.57,yes
-0.08,1.06,11.26,yes
-0.04,1.26,11.53,yes
0.08,0.94,11.81,yes
0,1.18,11.53,yes
0.08,1.37,11.96,yes
-0.04,1.02,11.77,yes
-0.04,1.02,11.77,yes
-0.08,1.06,11.77,yes
0.04,1.02,11.81,yes
0.12,1.22,11.22,yes
-0.39,1.29,11.45,yes
-0.08,1.18,11.57,yes
-0.24,1.18,11.61,yes
-0.12,1.14,11.49,yes
-0.04,1.14,11.57,yes
-0.08,0.86,11.69,yes
0,0.82,11.34,yes
-0.16,1.06,11.73,yes
-0.31,1.02,12,yes
-0.2,0.98,11.61,yes
-0.39,1.06,11.3,yes
-0.24,1.1,11.77,yes
-0.08,1.14,11.38,yes
-0.12,1.06,11.41,yes
0.08,1.02,11.53,yes
-0.2,0.94,11.49,yes
-0.2,1.1,11.73,yes
0.04,1.22,11.65,yes
-0.24,1.06,11.38,yes
-0.24,1.14,11.53,yes
-0.27,1.18,11.57,yes
-0.16,0.94,11.53,yes
-0.24,1.14,11.81,yes
0.31,0.9,11.85,yes
0.08,1.06,11.65,yes
0,1.1,11.57,yes
-0.12,0.78,11.61,yes
0.2,0.98,11.65,yes
-0.82,0.55,11.18,yes
-0.31,1.06,11.38,yes
0,1.18,11.61,yes
-0.35,1.1,11.61,yes
-0.04,1.18,11.73,yes
0.12,1.1,11.57,yes
-0.12,1.22,11.57,yes
-0.08,1.14,11.57,yes
-0.2,0.94,11.65,yes
-0.16,1.06,12,yes
-0.2,1.18,11.85,yes
-0.24,1.22,11.57,yes
-0.24,0.9,11.81,yes
-0.08,1.02,11.77,yes
0.43,1.29,11.45,yes
-0.27,0.98,11.57,yes
0.16,0.98,11.3,yes
-0.04,1.02,11.61,yes
-0.08,1.22,11.61,yes
-0.27,1.22,11.41,yes
0.16,0.9,11.61,yes
-0.31,1.02,11.65,yes
-0.16,1.02,11.41,yes
-0.35,1.14,11.57,yes
